idade,renda_mensal,historico_credito,tempo_emprego,tipo_residencia,estado_civil,numero_dependentes,valor_solicitado,finalidade_credito,risco
56,1090.33,Ruim,14,Própria,Solteiro,1,26978.03,Negócio,Alto Risco
69,3805.2,Bom,3,Própria,Casado,0,24718.47,Imóvel,Alto Risco
46,2365.47,Bom,11,Própria,Casado,3,16528.29,Imóvel,Baixo Risco
32,1366.62,Regular,5,Alugada,Divorciado,0,9989.08,Educação,Alto Risco
60,2530.14,Ruim,18,Financiada,Solteiro,3,15442.09,Imóvel,Alto Risco
25,1877.68,Regular,3,Familiar,Casado,0,19888.7,Veículo,Alto Risco
38,6030.71,Bom,14,Própria,Casado,0,18667.81,Imóvel,Baixo Risco
56,4822.46,Bom,8,Alugada,Divorciado,3,28917.27,Imóvel,Baixo Risco
36,3488.04,Regular,4,Alugada,Casado,2,12919.18,Educação,Baixo Risco
40,5719.92,Excelente,12,Alugada,Divorciado,2,4593.26,Educação,Baixo Risco
28,3616.05,Regular,22,Alugada,Solteiro,5,3181.75,Pessoal,Baixo Risco
28,2208.07,Bom,17,Alugada,Casado,1,1581.67,Veículo,Baixo Risco
41,5784.69,Regular,4,Alugada,Casado,1,16570.23,Pessoal,Baixo Risco
53,4308.37,Excelente,24,Própria,Divorciado,0,13125.05,Pessoal,Baixo Risco
57,1944.13,Regular,15,Financiada,Solteiro,0,15261.24,Imóvel,Alto Risco
41,3214.49,Bom,18,Própria,Solteiro,0,10703.52,Educação,Baixo Risco
20,2186.57,Regular,13,Alugada,Solteiro,4,6118.67,Pessoal,Alto Risco
39,1425.8,Excelente,24,Alugada,Solteiro,2,19914.69,Veículo,Alto Risco
19,4889.27,Regular,15,Alugada,Solteiro,0,1000.0,Negócio,Baixo Risco
41,6364.12,Regular,14,Familiar,Viúvo,2,8587.24,Educação,Baixo Risco
61,1402.15,Regular,21,Financiada,Casado,1,21291.92,Veículo,Alto Risco
47,4344.45,Regular,3,Financiada,Casado,0,7793.29,Educação,Baixo Risco
55,2524.04,Regular,6,Alugada,Casado,1,18133.4,Veículo,Alto Risco
19,2769.31,Ruim,15,Financiada,Casado,2,8597.93,Pessoal,Alto Risco
38,2611.41,Bom,23,Alugada,Solteiro,2,11353.24,Pessoal,Baixo Risco
50,2204.01,Ruim,21,Financiada,Solteiro,4,19599.36,Pessoal,Alto Risco
29,3572.78,Bom,20,Alugada,Solteiro,2,4777.21,Veículo,Baixo Risco
39,2253.57,Excelente,21,Familiar,Casado,0,20962.23,Negócio,Baixo Risco
61,3905.69,Excelente,20,Familiar,Casado,1,15367.36,Educação,Baixo Risco
42,3424.64,Bom,7,Financiada,Solteiro,0,25051.51,Veículo,Baixo Risco
66,3141.58,Regular,16,Própria,Casado,2,16665.2,Veículo,Alto Risco
44,2138.65,Regular,15,Própria,Divorciado,3,6444.11,Pessoal,Baixo Risco
59,2634.84,Regular,22,Financiada,Divorciado,4,28823.96,Imóvel,Alto Risco
45,4633.09,Regular,9,Própria,Divorciado,0,7112.46,Educação,Baixo Risco
33,4251.38,Bom,9,Financiada,Casado,1,13182.75,Pessoal,Baixo Risco
32,2033.67,Excelente,1,Alugada,Solteiro,2,22659.27,Pessoal,Alto Risco
64,3649.0,Bom,8,Alugada,Casado,1,1000.0,Imóvel,Baixo Risco
68,4627.08,Bom,16,Familiar,Solteiro,1,26517.35,Imóvel,Baixo Risco
61,1000.0,Excelente,10,Alugada,Casado,1,5792.93,Veículo,Alto Risco
69,4315.04,Bom,9,Alugada,Casado,0,11360.0,Imóvel,Baixo Risco
20,2506.06,Regular,21,Alugada,Solteiro,3,17310.86,Imóvel,Alto Risco
54,4355.9,Regular,24,Própria,Casado,1,14666.35,Pessoal,Baixo Risco
68,2355.11,Ruim,16,Financiada,Divorciado,0,21313.41,Veículo,Alto Risco
24,1000.0,Ruim,3,Própria,Solteiro,1,2193.54,Veículo,Alto Risco
38,1058.69,Regular,15,Familiar,Divorciado,1,20819.61,Educação,Alto Risco
26,3572.13,Bom,19,Financiada,Solteiro,2,21457.94,Negócio,Baixo Risco
56,3889.58,Regular,14,Própria,Casado,1,23233.81,Educação,Baixo Risco
35,2143.53,Regular,24,Financiada,Casado,1,2282.71,Imóvel,Baixo Risco
21,4457.89,Excelente,20,Alugada,Casado,2,3248.52,Imóvel,Baixo Risco
42,1007.72,Bom,4,Própria,Divorciado,0,12260.99,Imóvel,Alto Risco
31,3400.88,Ruim,5,Familiar,Divorciado,1,4113.39,Negócio,Baixo Risco
67,1683.48,Bom,16,Própria,Casado,2,1000.0,Pessoal,Baixo Risco
26,2522.25,Regular,0,Própria,Solteiro,4,11916.29,Veículo,Alto Risco
43,3571.1,Regular,24,Alugada,Divorciado,0,16872.73,Imóvel,Baixo Risco
19,2209.38,Excelente,18,Alugada,Solteiro,2,37391.84,Imóvel,Alto Risco
37,2923.17,Bom,3,Alugada,Divorciado,2,19389.4,Pessoal,Alto Risco
45,5009.44,Bom,16,Financiada,Solteiro,1,29018.16,Imóvel,Baixo Risco
64,2634.66,Excelente,8,Alugada,Solteiro,1,14646.79,Educação,Baixo Risco
24,4753.54,Excelente,23,Alugada,Casado,1,19476.53,Veículo,Baixo Risco
61,1805.44,Ruim,1,Própria,Solteiro,2,13830.9,Educação,Alto Risco
25,4294.71,Bom,7,Própria,Solteiro,1,36464.99,Veículo,Baixo Risco
64,5662.35,Regular,14,Própria,Solteiro,0,9515.27,Negócio,Baixo Risco
52,1000.0,Bom,6,Própria,Solteiro,1,10600.21,Veículo,Alto Risco
31,2304.66,Ruim,5,Alugada,Solteiro,1,21372.33,Imóvel,Alto Risco
34,4365.61,Bom,0,Própria,Solteiro,1,16659.78,Pessoal,Baixo Risco
53,3195.43,Bom,14,Própria,Casado,1,11606.7,Pessoal,Baixo Risco
67,4056.72,Ruim,22,Própria,Solteiro,3,22683.02,Imóvel,Alto Risco
57,2594.02,Ruim,6,Familiar,Casado,0,14670.82,Veículo,Alto Risco
21,3629.88,Excelente,24,Familiar,Solteiro,0,14614.43,Veículo,Baixo Risco
19,3266.48,Ruim,16,Alugada,Divorciado,0,16844.66,Pessoal,Alto Risco
23,5251.67,Bom,1,Familiar,Divorciado,1,1127.03,Educação,Baixo Risco
59,3881.63,Bom,8,Financiada,Solteiro,0,2253.97,Educação,Baixo Risco
21,4006.4,Excelente,8,Alugada,Casado,0,23695.16,Pessoal,Baixo Risco
46,2882.18,Excelente,12,Própria,Divorciado,0,9584.31,Imóvel,Baixo Risco
35,2768.59,Regular,5,Financiada,Viúvo,0,13936.39,Educação,Alto Risco
43,2851.16,Bom,5,Financiada,Casado,0,27899.51,Imóvel,Baixo Risco
61,4091.68,Bom,19,Alugada,Solteiro,1,14297.06,Veículo,Baixo Risco
51,2868.52,Regular,19,Financiada,Casado,0,13319.29,Imóvel,Baixo Risco
27,3934.66,Regular,20,Alugada,Casado,1,22168.62,Pessoal,Baixo Risco
53,6613.1,Excelente,2,Financiada,Casado,0,10213.88,Veículo,Baixo Risco
31,4806.69,Regular,16,Familiar,Solteiro,0,24623.43,Pessoal,Baixo Risco
48,3010.96,Excelente,16,Própria,Divorciado,2,22004.46,Imóvel,Baixo Risco
65,5301.82,Regular,11,Financiada,Viúvo,0,29642.67,Pessoal,Alto Risco
32,2887.89,Regular,15,Alugada,Solteiro,1,9477.26,Negócio,Baixo Risco
25,1000.0,Ruim,14,Alugada,Solteiro,0,25935.8,Veículo,Alto Risco
31,1987.87,Excelente,12,Financiada,Solteiro,3,19432.74,Pessoal,Baixo Risco
40,1000.0,Excelente,22,Própria,Divorciado,0,4397.07,Veículo,Baixo Risco
57,2972.73,Bom,0,Alugada,Casado,0,1000.0,Pessoal,Baixo Risco
38,3527.63,Bom,16,Própria,Casado,1,8615.78,Veículo,Baixo Risco
33,6014.66,Bom,2,Alugada,Casado,3,17338.78,Veículo,Baixo Risco
62,3990.39,Ruim,14,Alugada,Casado,1,18498.78,Pessoal,Alto Risco
35,3171.35,Bom,3,Financiada,Solteiro,1,14527.35,Pessoal,Baixo Risco
64,4744.11,Bom,3,Própria,Casado,0,14598.97,Veículo,Baixo Risco
41,1000.0,Regular,17,Alugada,Casado,0,13992.05,Pessoal,Alto Risco
43,3853.42,Bom,16,Própria,Viúvo,1,23249.74,Educação,Baixo Risco
42,4656.3,Regular,18,Financiada,Divorciado,2,3509.68,Imóvel,Baixo Risco
62,1282.12,Excelente,10,Familiar,Divorciado,1,17146.32,Imóvel,Alto Risco
58,5215.63,Bom,19,Familiar,Casado,4,8417.99,Veículo,Baixo Risco
46,4007.74,Excelente,2,Financiada,Casado,0,7747.67,Imóvel,Baixo Risco
32,2877.07,Excelente,7,Financiada,Casado,2,24409.84,Negócio,Baixo Risco
62,4449.17,Ruim,13,Própria,Divorciado,0,7133.9,Pessoal,Alto Risco
18,6906.04,Excelente,0,Própria,Solteiro,1,13883.85,Pessoal,Baixo Risco
42,3772.8,Regular,13,Alugada,Solteiro,1,30667.99,Pessoal,Baixo Risco
24,3872.33,Bom,1,Financiada,Solteiro,0,21704.62,Pessoal,Alto Risco
26,2810.96,Bom,22,Familiar,Casado,0,11360.24,Pessoal,Baixo Risco
41,2225.23,Ruim,3,Própria,Solteiro,3,12021.02,Imóvel,Alto Risco
18,4745.5,Excelente,23,Familiar,Solteiro,0,5182.38,Veículo,Baixo Risco
61,2215.87,Regular,18,Alugada,Solteiro,2,25405.16,Negócio,Alto Risco
25,3607.35,Ruim,5,Alugada,Solteiro,1,23090.81,Pessoal,Alto Risco
41,2783.51,Regular,24,Própria,Divorciado,0,20492.82,Veículo,Alto Risco
28,4218.47,Ruim,0,Própria,Solteiro,0,21374.66,Negócio,Alto Risco
68,4000.49,Excelente,16,Alugada,Casado,1,8803.8,Educação,Baixo Risco
34,5056.31,Bom,7,Alugada,Casado,3,2616.7,Veículo,Baixo Risco
25,2734.98,Bom,18,Própria,Divorciado,0,19484.32,Imóvel,Baixo Risco
52,3095.19,Regular,20,Alugada,Solteiro,0,22108.46,Educação,Baixo Risco
52,2031.85,Ruim,0,Financiada,Viúvo,0,27856.37,Veículo,Alto Risco
50,2833.56,Bom,4,Financiada,Casado,3,13392.88,Pessoal,Baixo Risco
22,4065.95,Regular,15,Familiar,Viúvo,1,12225.99,Educação,Baixo Risco
59,4635.48,Excelente,5,Própria,Divorciado,0,13085.92,Veículo,Baixo Risco
56,2116.75,Regular,7,Própria,Solteiro,2,20365.95,Pessoal,Alto Risco
58,4804.41,Bom,12,Financiada,Solteiro,2,12743.29,Veículo,Baixo Risco
45,5533.46,Ruim,15,Alugada,Solteiro,1,14582.09,Veículo,Baixo Risco
24,4120.15,Regular,2,Própria,Casado,0,21648.42,Educação,Alto Risco
26,6315.19,Bom,18,Própria,Solteiro,2,9993.31,Pessoal,Baixo Risco
